question,correctAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,difficultyLevel,gameLevel
What is the main purpose of the SRS document?,To clearly define the software requirements.,To design the system architecture.,To write the test cases for validation.,To document the project after deployment.,Medium,Medium
Which of the following best describes the Agile development model?,An iterative and incremental approach focused on adapting to change.,A linear model where each phase must be completed before the next begins,A model used only for hardware development.,A model in which requirements never change after being defined.,Medium,Medium
"In the MVC architecture,what is the main responsibility of the Controller?",Handling user input and directing it to the Model or View.,Storing all application data.,Rendering the final user interface.,Running automated tests.,Hard
What is the primary goal of Software Quality Assurance?,To ensure the development process produces a high-quality product.,To make the software run faster.,To replace the work of testers.,To design the database tables.,Expert,Expert
What is the correct definition of validation?,Ensuring the final product meets the user�s needs and expectations.,Checking that the system meets the technical requirements.,Inspecting the code for syntax errors.,Measuring the system�s performance under load.,Easy,Easy
What is the main purpose of software verification?,Ensuring the product is built correctly.,Checking user satisfaction.,Measuring market needs.,Improving project documentation.,Medium,Medium
What is the purpose of a Test Plan document?,"Describing the testing strategy,scope,and schedule.",Listing all system requirements.,Designing the system architecture.,Creating user interface mockups.
What is the main benefit of using version control systems like Git?,Tracking changes and enabling team collaboration.,Improving CPU performance.,Automatically generating documentation.,Managing user passwords.,Easy,Easy
What does Black-Box testing focus on?,Testing functionality without knowing internal code.,Testing only the database layer.,Analyzing CPU usage during runtime.,Reviewing programming style.,Medium,Medium
What is the main purpose of a Use Case diagram?,Describing interactions between users and the system.,Showing memory usage flow.,Displaying class inheritance.,Documenting security policies.,Easy,Easy
What is the role of the Scrum Master?,Facilitating the Agile process and removing obstacles.,Writing the product backlog.,Designing the database schema.,Performing system testing.,Medium,Medium
What is the purpose of regression testing?,Ensuring new changes didn�t break existing functionality.,Validating the initial project budget.,Testing only UI elements.,Measuring server temperature.,Hard,Hard
What is the advantage of modular design?,Improves maintainability and reusability.,Increases compile time.,Eliminates the need for testing.,Reduces the number of developers needed.,Medium,Medium
"In risk management,what is mitigation?",Reducing the likelihood or impact of a risk.,Ignoring low-impact risks.,Waiting until a risk occurs.,Documenting future requirements only.,Expert
What does �Non-functional requirement� refer to?,System qualities like performance and security.,Program�s main business rules.,Database connection queries.,User interface wireframes.,Medium,Medium
What is the purpose of a code review?,Detecting defects and improving code quality.,Increasing the number of features.,Replacing the CI/CD pipeline.,Performing system performance testing.,Easy,Easy
What is the main goal of software validation?,Ensuring the product meets user needs.,Checking only the backend logic.,Verifying CPU speed.,Ensuring documentation is grammatically correct.,Medium,Medium
What does load testing measure?,System performance under heavy usage.,Developer productivity.,Requirements stability.,UI color consistency.,Hard,Hard
What is the advantage of Continuous Integration (CI)?,Early detection of integration issues.,Eliminates the need for version control.,Removes the need for testers entirely.,Allows skipping documentation.,Hard,Hard
What is the purpose of a Gantt chart?,Visualizing project tasks and timelines.,Monitoring RAM usage.,Testing API endpoints.,Modeling user authentication.,Expert,Easy
What is the main purpose of ISO 9126 / ISO 25010 standards?,Defining software quality characteristics.,Defining hardware installation steps.,Designing the project budget.,Controlling employee productivity.,Expert,Expert
